item_id,item_text_clean,dataset,extra,question,n_options,options_json
I act wild and crazy,I act wild and crazy,16PF,,I act wild and crazy.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neither agree nor disagree""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I am afraid that I will do the wrong thing,I am afraid that I will do the wrong thing,16PF,,I am afraid that I will do the wrong thing.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neither agree nor disagree""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I am annoyed by others' mistakes,I am annoyed by others' mistakes,16PF,,I am annoyed by others' mistakes.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neither agree nor disagree""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I am easily discouraged,I am easily discouraged,16PF,,I am easily discouraged.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neither agree nor disagree""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I am easily hurt,I am easily hurt,16PF,,I am easily hurt.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neither agree nor disagree""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I am easily put out,I am easily put out,16PF,,I am easily put out.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neither agree nor disagree""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I am exacting in my work,I am exacting in my work,16PF,,I am exacting in my work.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neither agree nor disagree""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I am hard to get to know,I am hard to get to know,16PF,,I am hard to get to know.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neither agree nor disagree""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I am not afraid of providing criticism,I am not afraid of providing criticism,16PF,,I am not afraid of providing criticism.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neither agree nor disagree""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I am not bothered by disorder,I am not bothered by disorder,16PF,,I am not bothered by disorder.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neither agree nor disagree""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I am not bothered by messy people,I am not bothered by messy people,16PF,,I am not bothered by messy people.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neither agree nor disagree""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I am not easily annoyed,I am not easily annoyed,16PF,,I am not easily annoyed.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neither agree nor disagree""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I am not easily bothered by things,I am not easily bothered by things,16PF,,I am not easily bothered by things.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neither agree nor disagree""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I am not easily frustrated,I am not easily frustrated,16PF,,I am not easily frustrated.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neither agree nor disagree""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I am not interested in abstract ideas,I am not interested in abstract ideas,16PF,,I am not interested in abstract ideas.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neither agree nor disagree""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I am not interested in theoretical discussions,I am not interested in theoretical discussions,16PF,,I am not interested in theoretical discussions.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neither agree nor disagree""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I am not really interested in others,I am not really interested in others,16PF,,I am not really interested in others.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neither agree nor disagree""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I am open about my feelings,I am open about my feelings,16PF,,I am open about my feelings.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neither agree nor disagree""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I am open about myself to others,I am open about myself to others,16PF,,I am open about myself to others.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neither agree nor disagree""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I am quick to judge others,I am quick to judge others,16PF,,I am quick to judge others.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neither agree nor disagree""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I am quiet around strangers,I am quiet around strangers,16PF,,I am quiet around strangers.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neither agree nor disagree""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I am relaxed most of the time,I am relaxed most of the time,16PF,,I am relaxed most of the time.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neither agree nor disagree""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I am the last to laugh at a joke,I am the last to laugh at a joke,16PF,,I am the last to laugh at a joke.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neither agree nor disagree""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I am the life of the party,I am the life of the party,16PF,,I am the life of the party.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neither agree nor disagree""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I am wary of others,I am wary of others,16PF,,I am wary of others.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neither agree nor disagree""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
